"Study_#","Source","Publication_year","Link","Country","M49_Code","Region","Category","WB_Income_Category","Study_area_level","Study_area_name","Country_Population_Millions","Household","Food_Service","Retail","Method","Confidence_Classification","Description","Household_Diary?","Edible_Waste_Only?","Year(s)_covered","FW_Share_estimate","Share_note","Edible_Avoidable_Share","Edible_Avoidable_Note"," Mass_estimate ","Original_Mass_Measure"," Time_Adjustment_Y "," Weight_Adjustment_T "," Standardised_Mass_tonnes/year ","Derived_Estimate_Needed?"," Study_Year_Country_Population "," Study_Year_Subnational_Population ","Derived_Normalised_kg/capita/year","Normalised_Mass_Estimate","Original_Normalised_Mass_Measure","Normalised_Weight_Adjustment_kg","Normalised_Time_Adjustment_Y","Standardised_Normalised_Mass_kg/capita/year","Preferred_estimate_kg/capita","Household_Diary_Adjustment","Household_Inedible_Adjustment","Food_Service_Inedible_Adjustment","Retail_Inedible_Adjustment","Total_Adjustment","Final_kg/cap/yr_estimate"
38,"Community participation in household solid waste reduction in Surabaya, Indonesia",2015,"https://doi.org/10.1016/j.resconrec.2015.06.013","Indonesia",360,"South-eastern Asia","Developing","UMC","Municipality & Sub-national region","Surabaya",270.6256,1,,,"Waste Composition Analysis",2,"100 households in Surabaya were provided with bags in which to put all of their daily waste for a period of 8 consecutive days. This was then collected and sorted, including into a separate food waste category.",,,2013,64%,"Share of waste which is food waste, distinct from organic",,,,,,,,," -   "," -   ",,0.21,"kg / capita / day",0.21,77.37,77,77,1.00,1.00,1.00,1.00,1.00,77
39,"Kitchen Food Waste Inventory for Residential Areas in Baghdad City",2012,"https://www.researchgate.net/publication/258242118_Kitchen_Food_Waste_Inventory_for_Residential_Areas_in_Baghdad_City","Iraq",368,"Western Asia","Developing","UMC","Municipality & Sub-national region","Baghdad",39.3098,1,,,"Diaries",2,"20 families in Baghdad, a mixture of family sizes and income levels, weighed their weekly purchases (this seems to have excluded meat) and kitchen waste on kitchen scales and documented them for a period of 8 months. This has been adjusted to account for diary bias. There is some uncertainty about the scope as the term kitchen waste and leftovers are used interchangably: this could possibly be looking at edible waste only. Adjusting it as such would lead to an extreme food waste estimate, so this has been assumed not to be the case, but this uncertainty prevents us from having high confidence in the results.",1,,2012,28%,"Share of purchases wasted",,,,,,,,," -   "," -   ",,1007.62,"g / capita / week",1.01,52.40,52,52,1.43,1.00,1.00,1.00,1.43,75
40,"A Study on Solid Waste Composition And Characteristics of Mosul City/Iraq",2013,"https://www.researchgate.net/publication/340256113_Solid_Waste_Composition_and_Characteristics_of_Mosul_CityIRAQ","Iraq",368,"Western Asia","Developing","UMC","Municipality & Sub-national region","Mosul",39.3098,1,,,"Waste Composition Analysis",2,"60 households, 10 from each sector of Mosul were given plastic bags and told to deposit their waste from a 24 hour period into it. It's unclear if this was repeated for individual houses or for how many days, though the paper does say that the study period was between February and July which would suggest it was repeated for households for some duration. A total of 1680 solid waste samples were collected.",,,2009,68%,"Share of waste which is food waste, distinct from organic",,,,,,,,," -   "," -   ",,0.23,"kg / capita / day",0.23,84.66,85,85,1.00,1.00,1.00,1.00,1.00,85
41,"Spatial Analysis of Residential Waste Solid in the City of Karbala",2015,"https://www.iraqjournals.com/article_104313_0.html","Iraq",368,"Western Asia","Developing","UMC","Municipality & Sub-national region","Karbala",39.3098,1,,,"Waste Composition Analysis",2,"70 households in Karbala distributed plastic bags in which to put their waste from a 24 hour period. Done once a month for three months in winter and three months in summer.",,,2014,57%,"Share of waste which is food waste, distinct from organic",,,,,,,,," -   "," -   ",,0.39,"kg / capita / day",0.39,141.61,142,142,1.00,1.00,1.00,1.00,1.00,142
42,"Household Behavior on Solid Waste Management a Case of Al-Kut City",2010,"https://www.researchgate.net/publication/320613575_Household_Behavior_on_Solid_Waste_Management_A_Case_of_Al-Kut_City","Iraq",368,"Western Asia","Developing","UMC","Municipality & Sub-national region","Al-Kut City",39.3098,1,,,"Waste Composition Analysis",2,"80 households across three income groups in Al-Kut had their waste collected daily for a period of one week, which was repeated one week per month for seven months. Whilst this is a large sample, there remains some uncertainty around definitions as to whether food or organic waste was measured, which could explain the quite substantial waste generation. As a result, we cannot have high confidence in the estimate.",,,2009,70%,"Share of waste which is food waste, no other organic estimate",,,,,,,,," -   "," -   ",,0.38,"kg / capita / day",0.38,137.53,138,138,1.00,1.00,1.00,1.00,1.00,138
43,"Characteristics and Compositions of Solid Waste in Nassiriya City",2009,"https://www.semanticscholar.org/paper/CHARACTERISTICS-AND-COMPOSITIONS-OF-SOLID-WASTE-IN-Abudi/b9f0c4d0092838519e4eaee3586fd4398b012daa","Iraq",368,"Western Asia","Developing","UMC","Municipality & Sub-national region","Nassiriya",39.3098,1,,,"Waste Composition Analysis",2,"65 households representing 417 people across three income groups in Nassiriya were randomly selected. Distributed plastic bags in which to put waste which were collected daily and replaced over a period of seven months.",,,2008,66%,"Share of waste which is food waste, distinct from organic",,,,,,,,," -   "," -   ",,0.45,"kg / capita / day",0.45,163.33,163,163,1.00,1.00,1.00,1.00,1.00,163
44,"What gets measured gets managed: A new method of measuring household food waste",2018,"https://doi.org/10.1016/j.wasman.2018.03.031","Israel",376,"Western Asia","Developed","HIC","Municipality & Sub-national region","Haifa",8.5194,1,,,"Waste Composition Analysis",2,"192 households across three neighbourhoods in Eastern Haifa, primarily middle class households, provided with waste bags which were collected daily for the period of one week. Due to being a study within a specific unrepresentative area, we only have medium confidence.",,,2016,45%,"Share of waste which is food waste, distinct from organic",54%,"Avoidable food waste presented as 54% of total food waste.",,,,,,," -   "," -   ",,0.26,"kg / capita / day",0.26,94.18,94,94,1.00,1.00,1.00,1.00,1.00,94
45,"Food Waste and Rescue in Israel: The Economic, Social and Environmental Impact",2019,"https://www.leket.org/en/food-waste-and-rescue-report/","Israel",376,"Western Asia","Developed","HIC","Nationwide",,8.5194,1,,,"Mixed method",2,"The paper describes the figure as coming from ""A comprehensive value chain model for various food production and consumption stages was designed to assess food waste and the potential for food rescue in Israel. The model is based on a bottom-up approach, and includes analysis of data relevant to agricultural production, import, export, industry, distribution and a sample of consumption patterns of 50 different types of food."" [...] ""For each type of food, the volume of input and output was measured in terms of gross agricultural product and loss rate for every stage of the value chain in the food production, distribution and consumption process."" [...] ""This data is indicative and intended to serve as the basis for public debate, and for further research and study"".
As a result, it is not that clear exactly the calculation that has taken place nor the original data sources, other than that they are 'bottom up'. Leket is a primary food rescue organisation in Israel and this paper was referred to us by contacts in the region. The lack of clarity on the methodological details means we cannot have high confidence in the estimate.",,,2018,,,,," 1,940 ","Million pounds / year",1940,879968," 879,968 ",1," 8,381,600 "," -   ",105,,,,,,105,1.00,1.00,1.00,1.00,1.00,105
45,"Food Waste and Rescue in Israel: The Economic, Social and Environmental Impact",2019,"https://www.leket.org/en/food-waste-and-rescue-report/","Israel",376,"Western Asia","Developed","HIC","Nationwide",,8.5194,,,1,"Mixed method",2,"The paper describes the figure as coming from ""A comprehensive value chain model for various food production and consumption stages was designed to assess food waste and the potential for food rescue in Israel. The model is based on a bottom-up approach, and includes analysis of data relevant to agricultural production, import, export, industry, distribution and a sample of consumption patterns of 50 different types of food."" [...] ""For each type of food, the volume of input and output was measured in terms of gross agricultural product and loss rate for every stage of the value chain in the food production, distribution and consumption process."" [...] ""This data is indicative and intended to serve as the basis for public debate, and for further research and study"".
As a result, it is not that clear exactly the calculation that has taken place nor the original data sources, other than that they are 'bottom up'. Leket is a primary food rescue organisation in Israel and this paper was referred to us by contacts in the region. The lack of clarity on the methodological details means we cannot have high confidence in the estimate.",,,2018,,,,," 950 ","Million pounds / year",950,430912," 430,912 ",1," 8,381,600 "," -   ",51,,,,,,51,1.00,1.00,1.00,1.00,1.00,51
45,"Food Waste and Rescue in Israel: The Economic, Social and Environmental Impact",2019,"https://www.leket.org/en/food-waste-and-rescue-report/","Israel",376,"Western Asia","Developed","HIC","Nationwide",,8.5194,,1,,"Mixed method",2,"The paper describes the figure as coming from ""A comprehensive value chain model for various food production and consumption stages was designed to assess food waste and the potential for food rescue in Israel. The model is based on a bottom-up approach, and includes analysis of data relevant to agricultural production, import, export, industry, distribution and a sample of consumption patterns of 50 different types of food."" [...] ""For each type of food, the volume of input and output was measured in terms of gross agricultural product and loss rate for every stage of the value chain in the food production, distribution and consumption process."" [...] ""This data is indicative and intended to serve as the basis for public debate, and for further research and study"".
As a result, it is not that clear exactly the calculation that has taken place nor the original data sources, other than that they are 'bottom up'. Leket is a primary food rescue organisation in Israel and this paper was referred to us by contacts in the region. The lack of clarity on the methodological details means we cannot have high confidence in the estimate.",,,2018,,,,," 507 ","Million pounds / year",507,229971," 229,971 ",1," 8,381,600 "," -   ",27,,,,,,27,1.00,1.00,1.00,1.00,1.00,27
46,"Gli sprechi alimentari nella grande distribuzione organizzata in Italia. Quantificazione e analisi dei prodotti alimentari smaltiti nei supermercati e ipermercati.",2019,"https://www.sprecozero.it/2020/07/16/quanto-cibo-si-spreca-in-italia/","Italy",380,"Southern Europe","Developed","HIC","Nationwide",,60.5501,,,1,"Waste Composition Analysis",1,"17 retail stores, including both supermarkets and hypermarkets had their waste weighed. The linked infographic suggests a combination of direct weighing and item scanning, which was used to form a waste generation factor by retail space, which was then scaled up nationwide.",,,2017,,,,," 220,000 ","Tonnes / year",220000,220000," 220,000 ",1," 60,673,700 "," -   ",4,,,,,,4,1.00,1.00,1.00,1.00,1.00,4
47,"Quantities, Determinants, and Awareness of Households’ Food Waste in Italy: A Comparison between Diary and Questionnaires Quantities’",2019,"https://doi.org/10.3390/su11123381 ; https://www.sprecozero.it/2020/07/16/quanto-cibo-si-spreca-in-italia/","Italy",380,"Southern Europe","Developed","HIC","Nationwide",,60.5501,1,,,"Diaries",2,"388 families completed a food diary in which they recorded food disposed over the course of one week. The households were chosen by random stratified sampling and were considered representative in terms of region and household size. As a diary estimate, it has been adjusted to account for methodological bias.",1,,2017,,,59%,"As per the graphic on the source site, 530 g edible waste."," 3 ","Million tonnes / year",3,2860000," 2,860,000 ",," 60,673,700 "," -   ",,0.90,"kg / capita / week",0.90,46.80,47,47,1.43,1.00,1.00,1.00,1.43,67
48,"Reducing Food Loss and Waste & Promoting Recycling",2017,"https://www.maff.go.jp/e/policies/env/attach/pdf/frecycle-3.pdf","Japan",392,"Eastern Asia","Developed","HIC","Nationwide",,126.8603,,1,,"Unclear, Governmental reporting",2,"This presentation (in English) by the Food Industrial Policy Office presents statistics from the MAFF statistical survey, estimating waste from each of the sectors: Household (solid waste); Restaurant (assumed to mean all Food Service) and Retail. Wholesale estimated separately, not included. Estimates are for the the 2014 financial year. The survey methdology is not presented. As a result of this methodological uncertainty, it is considered 'medium confidence' until more information is received. For Retail and Food Service, the figures have been adjusted to account for the share going to animal feed, also included in the presentation.
",,,2014,,,62%,"Calculated dividing edible portion by food waste generation, as per slide 4."," 2 ","Million tonnes / year",2,1884516," 1,884,516 ",1," 127,794,800 "," -   ",15,,,,,,15,1.00,1.00,1.00,1.00,1.00,15
48,"Reducing Food Loss and Waste & Promoting Recycling",2017,"https://www.maff.go.jp/e/policies/env/attach/pdf/frecycle-3.pdf","Japan",392,"Eastern Asia","Developed","HIC","Nationwide",,126.8603,,,1,"Unclear, Governmental reporting",2,"This presentation (in English) by the Food Industrial Policy Office presents statistics from the MAFF statistical survey, estimating waste from each of the sectors: Household (solid waste); Restaurant (assumed to mean all Food Service) and Retail. Wholesale estimated separately, not included. Estimates are for the the 2014 financial year. The survey methdology is not presented. As a result of this methodological uncertainty, it is considered 'medium confidence' until more information is received. For Retail and Food Service, the figures have been adjusted to account for the share going to animal feed, also included in the presentation.
",,,2014,,,47%,"Edible portion / food waste generation, as per slide 4"," 1 ","Million tonnes / year",1,1103376," 1,103,376 ",1," 127,794,800 "," -   ",9,,,,,,9,1.00,1.00,1.00,1.00,1.00,9
48,"Reducing Food Loss and Waste & Promoting Recycling",2017,"https://www.maff.go.jp/e/policies/env/attach/pdf/frecycle-3.pdf","Japan",392,"Eastern Asia","Developed","HIC","Nationwide",,126.8603,1,,,"Unclear, Governmental reporting",2,"This presentation (in English) by the Food Industrial Policy Office presents statistics from the MAFF statistical survey, estimating waste from each of the sectors: Household (solid waste); Restaurant (assumed to mean all Food Service) and Retail. Wholesale estimated separately, not included. Estimates are for the the 2014 financial year. The survey methdology is not presented. As a result of this methodological uncertainty, it is considered 'medium confidence' until more information is received.
",,,2014,,,34%,"The solid waste was 8.22 Mt, of which Edible portion 2.82 Mt"," 8 ","Million tonnes / year",8,8220000," 8,220,000 ",1," 127,794,800 "," -   ",64,,,,,,64,1.00,1.00,1.00,1.00,1.00,64
49,"Preparatory Survey for Integrated Solid Waste Management in Nairobi City in the Republic of Kenya",2010,"https://openjicareport.jica.go.jp/pdf/12005443.pdf","Kenya",404,"Sub-Saharan Africa","Developing","LMC","Municipality & Sub-national region","Nairobi",52.574,,1,,"Waste Composition Analysis",2,"Across retail and out of home consumption, 90 locations had their waste analysed for a period of seven days, which was preceded by a one day test measurement, which was excluded from analysis. The figure presented is the sum of Restaurants, Hotels and Public Facilities, each of which had a distinct waste generation rate and food waste generation share. The original study scales this by the number of institutions in Nairobi.",,,2009,82%,"Share of waste which is food waste, distinct from organic",,," 259,159 ","KG / day",94657810,94658," 94,658 ",1," -   "," 3,040,000 ",31,,,,,,31,1.00,1.00,1.00,1.00,1.00,31
49,"Preparatory Survey for Integrated Solid Waste Management in Nairobi City in the Republic of Kenya",2010,"https://openjicareport.jica.go.jp/pdf/12005443.pdf","Kenya",404,"Sub-Saharan Africa","Developing","LMC","Municipality & Sub-national region","Nairobi",52.574,1,,,"Waste Composition Analysis",2,"150 households were sampled across five income groups (High, Middle, Low-Middle, Low, Slum), which are grouped in Table 2.2.7 into three residential groups (High, Middle, Low) with a subset of those sampled for composition. Total of 8 days collected but the first one was discounted as not representing daily generation, so 7 days of sample. A subset of this waste was then sorted and classified.",,,2009,64%,"Share of waste which is food waste, distinct from organic",,," 830,809 ","kg / day",303453072,303453," 303,453 ",," -   "," 3,040,000 ",,0.27,"kg / capita / day",0.27,99.92,100,100,1.00,1.00,1.00,1.00,1.00,100
49,"Preparatory Survey for Integrated Solid Waste Management in Nairobi City in the Republic of Kenya",2010,"https://openjicareport.jica.go.jp/pdf/12005443.pdf","Kenya",404,"Sub-Saharan Africa","Developing","LMC","Municipality & Sub-national region","Nairobi",52.574,,,1,"Waste Composition Analysis",2,"Across retail and out of home consumption, 90 locations had their waste analysed for a period of seven days, which was preceded by a one day test measurement, which was excluded from analysis. Figure is a sum of Shop and Market, which are measured separately. The original study scales this by the number of institutions in Nairobi.",,,2009,68%,"Share of waste which is food waste, distinct from organic",,," 91,252 ","KG / day",33329934,33330," 33,330 ",1," -   "," 3,040,000 ",11,,,,,,11,1.00,1.00,1.00,1.00,1.00,11
50,"Linkages with SDG 11.6.1 on MSW and composition analysis",2019,"Unpublished UN Habitat presentation sent to authors","Kenya",404,"Sub-Saharan Africa","Developing","LMC","Municipality & Sub-national region","Nairobi",52.574,1,,,"Waste Composition Analysis",2,"90 households across three income areas (high, middle, low) received plastic bags for disposing daily waste. Total of 8 days collected but the first one was discounted as not representing daily generation, so 7 days of sample. This waste was then sorted and classified.",,,,56%,"Share of waste which is food waste, distinct from organic",,," 1,259 ","Tonnes / day",459850,459850," 459,850 ",," -   "," -   ",,0.27,"kg / capita / day",0.27,98.56,99,99,1.00,1.00,1.00,1.00,1.00,99
51,"The Determinants of Household Food Waste Generation and its Associated Caloric and Nutrient Losses: The Case of Lebanon",2019,"https://doi.org/10.1371/journal.pone.0225789","Lebanon",422,"Western Asia","Developing","UMC","Municipality & Sub-national region","Beirut",6.8557,1,,,"Diaries",2,"250 respondents completed a seven day food waste diary in Beirut, alongside an attitudinal survey which a total of 500 people completed. Neighbourhoods were selected to be representative of the wider population, but the sampling of households within neighbourhoods was systematic random sampling. As a diary study, it has been adjusted for methodological bias.",1,,2016,,,,,,,,,,," -   "," -   ",,0.20,"kg / capita / day",0.20,73.05,73,73,1.43,1.00,1.00,1.00,1.43,105
52,"Génération, traitement et prévention des déchets alimentaires",2020,"(FR) Detail: https://environnement.public.lu/fr/offall-ressourcen/types-de-dechets/Biodechets/Gaspillage_alimentaire/Etudes_et_resultats.html (ENG) Result summary: https://today.rtl.lu/news/luxembourg/a/1584519.html","Luxembourg",442,"Western Europe","Developed","HIC","Nationwide",,0.6157,,,1,"Mixed method",2,"Combination of waste statistics and interviews and surveys with enterprises. Further details are not known, but it is published by the Luxembourg Environment Administration.",,,2019,,,90%,"7.85kg of the normalised food waste estimate was considered avoidable"," 5,150 ","Tonnes / year",5150,5150," 5,150 ",," -   "," -   ",,8.70,"kg / capita / year",8.70,8.70,9,9,1.00,1.00,1.00,1.00,1.00,9
52,"Génération, traitement et prévention des déchets alimentaires",2020,"(FR) Detail: https://environnement.public.lu/fr/offall-ressourcen/types-de-dechets/Biodechets/Gaspillage_alimentaire/Etudes_et_resultats.html (ENG) Result summary: https://today.rtl.lu/news/luxembourg/a/1584519.html","Luxembourg",442,"Western Europe","Developed","HIC","Nationwide",,0.6157,,1,,"Mixed method",2,"Combination of waste statistics and interviews and surveys with enterprises. Further details are not known, but it is published by the Luxembourg Environment Administration.",,,2019,,,80%,"Food service divided into 'gastronomy' (restaurants) and 'collective' (canteens). 7.1kg of gastronomy and 9.6kg of collective considered avoidable."," 12,350 ","Tonnes / year",12350,12350," 12,350 ",," -   "," -   ",,20.90,"kg / capita / year",20.90,20.90,21,21,1.00,1.00,1.00,1.00,1.00,21
52,"Génération, traitement et prévention des déchets alimentaires",2020,"(FR) Detail: https://environnement.public.lu/fr/offall-ressourcen/types-de-dechets/Biodechets/Gaspillage_alimentaire/Etudes_et_resultats.html (ENG) Result summary: https://today.rtl.lu/news/luxembourg/a/1584519.html","Luxembourg",442,"Western Europe","Developed","HIC","Nationwide",,0.6157,1,,,"Mixed method",2,"Combination of waste statistics and a waste composition analysis undertaken in 2018-19, alongside other secondary and tertiary data. Further details are not known, but it is published by the Luxembourg Environment Administration.",,,2019,,,31%,"The avoidable/unavoidable split is presented. 31% was considered avoidable."," 53,270 ","Tonnes / year",53270,53270," 53,270 ",," -   "," -   ",,88.50,"kg / capita / year",88.50,88.50,89,89,1.00,1.00,1.00,1.00,1.00,89
53,"Household food composition and disposal behaviour in Malaysia",2013,"https://www.researchgate.net/publication/289063671_Household_food_consumption_and_disposal_behaviour_in_Malaysia","Malaysia",458,"South-eastern Asia","Developing","UMC","Nationwide",,31.9498,1,,,"Literature",2,"Table 1 cites 'MHLG' (Ministry of Housing and Local Government) 2011, estimating food waste generation by source. This was not findable by the bibliography nor through a direct internet search. As a result, we cannot have high confidence in the estimate.",,,2011,,,,," 3,192,404 ","Tonnes / year",3192404,3192404," 3,192,404 ",1," 28,621,800 "," -   ",112,,,,,,112,1.00,1.00,1.00,1.00,1.00,112
53,"Household food composition and disposal behaviour in Malaysia",2013,"https://www.researchgate.net/publication/289063671_Household_food_consumption_and_disposal_behaviour_in_Malaysia","Malaysia",458,"South-eastern Asia","Developing","UMC","Nationwide",,31.9498,,,1,"Literature",2,"Table 1 cites 'MHLG' (Ministry of Housing and Local Government) 2011, estimating food waste generation by source. This was not findable by the bibliography nor through a direct internet search. As a result, we cannot have high confidence in the estimate.",,,2011,,,,," 2,255,895 ","Tonnes / year",2255895,2255895," 2,255,895 ",1," 28,621,800 "," -   ",79,,,,,,79,1.00,1.00,1.00,1.00,1.00,79
53,"Household food composition and disposal behaviour in Malaysia",2013,"https://www.researchgate.net/publication/289063671_Household_food_consumption_and_disposal_behaviour_in_Malaysia","Malaysia",458,"South-eastern Asia","Developing","UMC","Nationwide",,31.9498,,1,,"Literature",2,"Table 1 cites 'MHLG' (Ministry of Housing and Local Government) 2011, estimating food waste generation by source. This was not findable by the bibliography nor through a direct internet search. As a result, we cannot have high confidence in the estimate.",,,2011,,,,," 2,563,470 ","Tonnes / year",2563470,2563470," 2,563,470 ",1," 28,621,800 "," -   ",90,,,,,,90,1.00,1.00,1.00,1.00,1.00,90
54,"The 3R Potential of Household Waste in Bangi, Malaysia",2012,"https://www.researchgate.net/publication/280642994_The_3R_Potential_of_Household_Waste_in_Bangi_Malaysia","Malaysia",458,"South-eastern Asia","Developing","UMC","Municipality & Sub-national region","Bandar Baru Bangi",31.9498,1,,,"Waste Composition Analysis",2,"282 households were sampled across four neighbourhoods, which represent a mixture of different housing types (terraced housing, bunaglows, flats). All in an area of Selangor described as a typical suburban area in the Kuala Lumpur area. Waste from a single day sampled in each area, sampling from the normal disposal routine rather than asking households to dispose of their waste differently. Panel 3 has breakdown of food into 'Unusued food' (7.71% total household waste), 'General kitchen waste' (24.83% total household waste), 'big fruit peels' (10.32% total waste).
Although this has a large sample, it is geographically restricted to one area so can only have medium confidence when used for the whole of Malaysia.",,,2010,43%,"Share of waste which is food waste, distinct from organic",">17.98%","Panel 3 has breakdown of food into Unusued food, more >1/2 whole (7.71% total waste), 'General food waste' (24.83% total waste), 'big fruit peels/cores' (10.32% total waste). It would not be possible to classify what is edible or inedible within 'general food waste', but the 'Unused food' is 7.71/42.86%, suggesting it is at very least 17.98%",,,,,,," -   "," -   ",,195.34,"g / capita / day",0.20,71.35,71,71,1.00,1.00,1.00,1.00,1.00,71
55,"Mexico Conceptual Framework for a National Strategy on Food Loss and Waste",2019,"https://beta.wrap.org.uk/resources/report/conceptual-framework-national-strategy-food-loss-and-waste-mexico","Mexico",484,"Latin America and the Caribbean","Developing","UMC","Nationwide",,127.5755,1,,,"Literature",2,"This figure combines a number of sources, detailed in Appendix 5 of the report. Studies were identified in 3 states and 5 municipalities which directly measured the share of waste which was food waste at the household level. This is then scaled up using figures from the urban solid waste, which is primarily but not exclusively household waste: some small businesses and some larger ones (operating illegally) dispose of waste in the household municipal waste. The scale of non-household contamination is not known. As a result, it is no more than a medium confidence estimate for household food waste that likely slightly exaggerates its extent (in urban solid waste).",,,2012,,,,," 11 ","Million tonnes / year",11,11000000," 11,000,000 ",1," 117,145,657 "," -   ",94,,,,,,94,1.00,1.00,1.00,1.00,1.00,94
56,"Synthesis report on food waste in Dutch households in 2019",2019,"https://www.voedingscentrum.nl/Assets/Uploads/voedingscentrum/Documents/Professionals/Pers/Persmappen/Verspilling%202019/VC_Synthesis%20report%20on%20food%20waste%20in%20Dutch%20households%202019.pdf","Netherlands",528,"Western Europe","Developed","HIC","Nationwide",,17.0971,1,,,"Mixed method",1,"The study combines multiple methods: 130 households across 13 municipalities had waste compositional analyses conducted, in order to determine solid waste; 1000 respondents to a consumer survey in order to determine waste destinations (i.e. how much was composted, fed to animals etc.); 1013 respondents to an app used to document liquid waste. This is the same methodology as was applied in a 2016 study. Avoidable and unavoidable waste were presented separately and have been summed. Liquid waste has not been included in our figure.",,,2019,,,69%,"Waste composition has avoidable and unavoidable split. 15.7kg is unavoidable, 34.3kg avoidable. The headline statistics they offer are for avoidable waste only, but in this case it has been adjusted.",,,,,,," -   "," -   ",,50.00,"kg / capita / year",50.00,50.00,50,50,1.00,1.00,1.00,1.00,1.00,50
57,"New Zealand Food Waste Audits",2018,"https://lovefoodhatewaste.co.nz/wp-content/uploads/2019/02/Final-New-Zealand-Food-Waste-Audits-2018.pdf","New Zealand",554,"Australia and New Zealand","Developed","HIC","Nationwide",,4.7831,1,,,"Waste Composition Analysis",1,"597 households across six different local authorities had their waste audited. This only considers the kerbside domestic waste.",,,2018,34%,"Share of waste which is food waste, no other organic estimate",49%,"Presents avoidable and unavoidable splits. Avoidable food waste was on average 48.8% of household food waste. "," 157,398 ","Tonnes / year",157398,157398," 157,398 ",," -   "," -   ",,61.00,"kg / capita / year",61.00,61.00,61,61,1.00,1.00,1.00,1.00,1.00,61
58,"What is known about food waste in New Zealand",2020,"https://lovefoodhatewaste.co.nz/wp-content/uploads/2020/09/What-is-known-about-food-waste-in-New-Zealand.pdf","New Zealand",554,"Australia and New Zealand","Developed","HIC","Nationwide",,4.7831,,,1,"Waste Composition Analysis",1,"This summary document refers to a University of Otago Master's student having conducted waste audits at three supermarket chains. It also presents the final destinations of retail waste, which has been used to adjust the waste figure. The share going to Animal Feed, Donation and Protein Reprocessing has been removed from the waste figure.",,,2017,,,,," 14,520 ","Tonnes / year",14520,14520," 14,520 ",," -   "," -   ",,3.12,"kg / capita / year",3.12,3.12,3,3,1.00,1.00,1.00,1.00,1.00,3
59,"Determination and Quantification of Household Solid Waste Generation for Planning Suitable Sustainable Waste Management in Nigeria",2017,"https://www.iuokada.edu.ng/publication/wp-content/uploads/2019/02/Ejiroghene-Kelly-OrhorhoroPatrick-Okechukwu-EbuniloGodwin-Ejuvwedia-Sadjere-Determination-and-Quantification-of-Household-Solid-Waste-Generation-for-Planning-Suitable-Sustainable-Waste.pdf","Nigeria",566,"Sub-Saharan Africa","Developing","LMC","Municipality & Sub-national region","Sapele",200.9636,1,,,"Waste Composition Analysis",2,"100 households covering a total of 334 people were selected by stratified random sampling, all in the Sapele area. Waste was collected from households after seven days and sorted.",,,2015,75%,"Share of waste which is food waste, no other organic estimate",,,,,,,,," -   "," -   ",,0.52,"kg / capita / day",0.52,188.80,189,189,1.00,1.00,1.00,1.00,1.00,189
60,"Food Waste in Norway 2010-2015",2016,"https://norsus.no/en/publikasjon/food-waste-in-norway-2010-2015/","Norway",578,"Northern Europe","Developed","HIC","Nationwide",,5.3789,,,1,"Data from industry",2,"89 stores from 3 different retail chains provided data, alongside wholesalers covering a large share of the market, both upscaled to the whole of Norway. It was not possible to disaggregate wholesale.  Only edible food reported and the figures have therefore been adusted to estimate the entire food waste.",,1,2015,,,,"Only edible waste is presented."," 63,244 ","Tonnes / year",63244,63244," 63,244 ",," 5,179,043 "," -   ",,12.24,"kg / capita / year",12.24,12.24,12,12,1.00,1.00,1.00,1.18,1.18,14
61,"Food Waste in Norway: Report on Key Figures, 2015-2018",2019,"https://www.matvett.no/uploads/documents/OR.32.19-Edible-food-waste-in-Norway-Report-on-key-figures-2015-2018.pdf","Norway",578,"Northern Europe","Developed","HIC","Nationwide",,5.3789,,1,,"Literature",2,"References the research project KuttMatsvinn2020, which focused on hotels, convenience stores and employee cafeterias, sampling around 2000 catering outlets. Work on other subsectors such as schools and restaurants is underway; as a result it appears as though the estimate has not accounted for these other sectors, making it an incomplete Food Service estimate. Uses the ForMat definition of food which only measures edible food waste, not indedible parts. It has therefore been adjusted to increase comparability. In this definition, food sent to animal feed is considered waste. It was not possible to adjust and account for this as the share of food going to animal feed was only included for the production stage; it is therefore assumed no food waste is going to animals at other stages.",,1,2018,5%,"Share of total food waste generation",,," 17,600 ","Tonnes / year",17600,17600," 17,600 ",1," 5,337,600 "," -   ",3,,,,,,3,1.00,1.00,1.50,1.00,1.50,5
61,"Food Waste in Norway: Report on Key Figures, 2015-2018",2019,"https://www.matvett.no/uploads/documents/OR.32.19-Edible-food-waste-in-Norway-Report-on-key-figures-2015-2018.pdf","Norway",578,"Northern Europe","Developed","HIC","Nationwide",,5.3789,,,1,"Literature",2,"Retailers report data on waste and sales by product group and cause. Wholesalers also provide estimates this way, these have not been included here. Uses the ForMat definition of food which only measures edible food waste, not indedible parts. It has therefore been adjusted to increase comparability. In this definition, food sent to animal feed is considered waste. It was not possible to adjust and account for this as the share of food going to animal feed was only included for the production stage; it is therefore assumed no food waste is going to animals at other stages.",,1,2018,16%,"Share of total food waste generation",,," 62,050 ","Tonnes / year",62050,62050," 62,050 ",1," 5,337,600 "," -   ",12,,,,,,12,1.00,1.00,1.00,1.18,1.18,14
